;out_id;tx_index;n;type;spent;value;addr
18134;18134;712283872194882;5;0;False;300000;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18135;18135;712283872194882;6;0;False;300000;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18136;18136;712283872194882;7;0;False;300000;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18137;18137;712283872194882;8;0;False;300000;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18138;18138;712283872194882;9;0;False;300000;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18139;18139;712283872194882;10;0;False;878469;34ibfQVb6NHupDSFJWG1khVScoe7ZLBsTF
18140;18140;944371175177209;0;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18141;18141;944371175177209;1;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18142;18142;944371175177209;2;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18143;18143;944371175177209;3;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18144;18144;944371175177209;4;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18145;18145;944371175177209;5;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18146;18146;944371175177209;6;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18147;18147;944371175177209;7;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18148;18148;944371175177209;8;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18149;18149;944371175177209;9;0;False;300000;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18150;18150;944371175177209;10;0;False;838811;3FjnZVX7jTr4JXuWNkwNu3WGJ6oJNGQ3Hi
18151;18151;2044934088823022;0;0;False;24082;bc1pw9qtfphg5lfuljqvlkks2u6qjc03emxjysrcl9j4efv5akgammysk8d0yy
18152;18152;2044934088823022;1;0;False;9448;bc1pt8rhn6dm6amwjr3tlyzllvy4gtr7uzdenwxa2q3mz54m2pzpevzqkcm58c
18153;18153;2044934088823022;2;0;False;0;
18154;18154;2044934088823022;3;0;False;158930;bc1qka5gx0xhtwmxkqghs5m9fqhrvqrxjzwjmqhuac
18155;18155;3206835262051936;0;0;True;22000;bc1pqem6t3fz8nc024j2wc4t8wvaxrs6tt4hg6wfwmu85qvd5u7uzsxqg7l6r8
18156;18156;3206835262051936;1;0;False;197076;bc1q8xj44jn9ldvf0ww65l32q2earj98kfg79nv9sn
18157;18157;2693860303428806;0;0;False;546;bc1q8xj44jn9ldvf0ww65l32q2earj98kfg79nv9sn
18158;18158;2693860303428806;1;0;False;2314;bc1qcdap5mj2rn6l9ccz7a750ytxxzfwqhszzrydq9
18159;18159;2883936305983518;0;0;False;163786;bc1q43duw0t5wkwhk2aq7gpy30vcje52umu5c2v5dz
18160;18160;5800246087000469;0;0;False;546;bc1plkk4upp49m3k0ewx8ee9ledajceur9l9j6umg5xx4gt5xcl0m9zq0g7r0m
18161;18161;5800246087000469;1;0;False;546;bc1plkk4upp49m3k0ewx8ee9ledajceur9l9j6umg5xx4gt5xcl0m9zq0g7r0m
18162;18162;5800246087000469;2;0;False;0;
18163;18163;8818020849596318;0;0;False;100000;bc1ps6a5hz50vee8448nfdrz27w4jcqqsjsrc8777m5s802s6laqrjaqxjdctz
18164;18164;8818020849596318;1;0;True;103676;bc1phada9pz5zzknekwslnz2xwzpv6fagv6tthharsze9zvv844s28rsmh3axz
18165;18165;8087073458463965;0;0;False;100000;bc1pj4wmg934gkf2z42kcgwru9hff6l604empepn0e9zgxme83t40u3qs2hzm9
18166;18166;8087073458463965;1;0;False;70618;bc1phada9pz5zzknekwslnz2xwzpv6fagv6tthharsze9zvv844s28rsmh3axz
18167;18167;562429314621395;0;0;True;8000000;342SWKqrJ7ZbWJzVLtrvtzNVhrWK9xJFV3
18168;18168;562429314621395;1;0;False;94708;bc1phm8z68jn76yky7tx7zdjkvwuu5uu7u8vxllcdlkmy7wkut52qfxqc3yt4l
18169;18169;2178507818329486;0;0;False;7975035;342SWKqrJ7ZbWJzVLtrvtzNVhrWK9xJFV3
18170;18170;7394323183828425;0;0;False;1200;3KKq3JqqXjJGTfi8CoXmMij2QDo54h6i5o
18171;18171;7394323183828425;1;0;False;333;bc1pyp7j53rxe9nk83g6zulnnpqrc527ulnxnneaxwd54g2ps5mqfqpqzctk92
18172;18172;7394323183828425;2;0;True;41128;33Wyc9XCVJDArq57zDz172hi31vo5w1f1s
18173;18173;7394323183828425;3;0;False;1025;3P4WqXDbSLRhzo2H6MT6YFbvBKBDPLbVtQ
18174;18174;7394323183828425;4;0;False;600;3KKq3JqqXjJGTfi8CoXmMij2QDo54h6i5o
18175;18175;7394323183828425;5;0;False;600;3KKq3JqqXjJGTfi8CoXmMij2QDo54h6i5o
18176;18176;7394323183828425;6;0;False;243813;3KKq3JqqXjJGTfi8CoXmMij2QDo54h6i5o
18177;18177;7418644732590302;0;0;False;84970;bc1qmdrg8f2lku0enxy7uyumm6vn3krwuzzkxlrnl6
18178;18178;1450351780793274;0;0;False;1093400;bc1qt87m0qwdauwz9wkzlgpmfj86szduwu4dyquzak
18179;18179;5224424962223288;0;0;True;60748;bc1pdau76zflk2gcjjqtms9vj7r3387h9qtrzl8pg7m5k2w7t3jrzjts28yfm3
18180;18180;5224424962223288;1;0;False;222000;36DGGpmoRVgSEwujxkbSBYbAJZcqczUgkL
18181;18181;5772290099436825;0;0;False;546;bc1pj0pxz5ltwke25cd3flrzm8rhax5mgfa54law9lg0c6dkdsru30qs40ug02
18182;18182;5772290099436825;1;0;False;0;
18183;18183;5772290099436825;2;0;False;2048;bc1quh9jm6p06nqnvgvvv733pl0g0y6ycxl0aas2t4
18184;18184;5772290099436825;3;0;False;975402;bc1pj0pxz5ltwke25cd3flrzm8rhax5mgfa54law9lg0c6dkdsru30qs40ug02
18185;18185;1661784926958202;0;0;True;20000;bc1pg08566tsxs924xyyl74732net5mqt9jde6u96r9yqxjl94yskfkqmkgmwu
18186;18186;1661784926958202;1;0;False;163323;bc1qd0atu553kpjftvpd4kl74umvunwfsg4u7ljy3z
18187;18187;6335117893383269;0;0;False;546;bc1qd0atu553kpjftvpd4kl74umvunwfsg4u7ljy3z
18188;18188;6335117893383269;1;0;False;2232;bc1qpz9g0fze94lwxfu7tlquch4wjsrntcvwj8rumt
18189;18189;2958805636140935;0;0;False;493468;bc1pvlpy4ylw3luax6hnspsjfgvfns2svps5ehprfd7w22m7s39q0hfq9ps37d
18190;18190;2958805636140935;1;0;False;493468;bc1pvlpy4ylw3luax6hnspsjfgvfns2svps5ehprfd7w22m7s39q0hfq9ps37d
18191;18191;2958805636140935;2;0;False;493468;bc1pvlpy4ylw3luax6hnspsjfgvfns2svps5ehprfd7w22m7s39q0hfq9ps37d
18192;18192;2958805636140935;3;0;False;493468;bc1pvlpy4ylw3luax6hnspsjfgvfns2svps5ehprfd7w22m7s39q0hfq9ps37d
