;out_id;outpoint_tx_index
0;156;7222372395294160
1;185;3232223852078352
2;301;8545641281170684
3;303;5605729482204423
4;305;3469760751891672
5;307;6096835459754921
6;309;4539629323119220
7;317;586579996228315
8;342;8534678895478100
9;352;3661844437876766
10;375;2229215837236569
11;377;914217731749444
12;379;1277842085605389
13;381;7452806971396072
14;426;5740984515324306
15;530;4375172563095051
16;545;1838950785732545
17;547;4863278323797969
18;549;7413412621880103
19;551;3029336004165608
20;553;2491258043915031
21;555;1982595455645310
22;557;2863925618436982
23;559;1478886499913853
24;561;3780280999943770
25;563;531308486778220
26;565;5410282640054489
27;567;7988379933019700
28;569;4713492378259857
29;571;3112039013646659
30;573;3605994907624056
31;575;5943380185312462
32;577;3601038161005369
33;579;2779882081012588
34;581;2625785987496606
35;589;3868008447756636
36;624;6010669333248186
37;657;886643692906289
38;701;3844412355087465
39;734;3670472356111308
40;850;1022276126002035
41;928;8161937443363079
42;930;5492044791404700
43;932;6627334006292069
44;934;2744561788907760
45;936;4319165151620124
46;937;5708869318306838
47;945;433865855040037
48;947;1362431339918114
49;949;1269280145209556
50;951;8710238309465021
51;960;1818357610395232
52;962;3127514651523265
53;975;6547809998858916
54;984;1572962443135256
55;1025;6798370068181314
56;1027;6616639043831858
57;1041;1813547514938489
58;1053;6878098795623375
59;1055;1925948705226038
60;1059;7121439169293347
61;1063;1150606642491867
62;1065;5406819969857845
63;1067;187250535335701
64;1069;3636088209843232
65;1071;6788311192869635
66;1073;38031532073115
67;1075;7786059908018064
68;1077;66416781796378
69;1079;490893637539108
70;1081;4452088854532262
71;1083;7752871614989362
72;1085;2265673518088626
73;1087;6470482842681929
74;1089;2899744349115146
75;1100;1259768793982792
76;1102;5821239413318272
77;1104;7188558425416623
78;1106;8244426072780731
79;1108;8265699593722892
80;1110;4692367945513461
81;1112;2332193651326120
82;1114;6424726150792180
83;1116;7608033820090662
84;1118;7440961119837825
85;1120;8065512602931763
86;1122;2545337427075684
87;1124;3096012640929815
88;1126;353249799767158
89;1128;7688594410625913
